trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
75,201.4164,251.5038,301.5573,351.5598,401.6105,1.0000,31.0432,47.1139,47.5920,58.1063,72.1583,98.4199,107.3807,120.4957,1000000.0000
76,201.3908,251.4178,301.4346,351.4399,401.4382,1.0000,5.5851,58.4646,67.5298,67.6446,75.6343,84.1155,93.6654,106.4860,1000000.0000
77,202.0081,252.1079,302.1736,352.2177,402.2476,1.0000,3.9589,21.1099,22.1453,67.6902,68.7847,88.4607,107.2681,136.7520,1000000.0000
78,201.8568,251.9744,302.0573,352.0864,402.1157,1.0000,17.7110,31.9016,34.9877,45.8776,94.3903,104.6107,123.5909,139.9643,1000000.0000
79,201.4500,251.5170,301.5565,351.5496,401.5940,1.0000,17.2463,61.8282,74.9818,76.4859,89.4317,96.0098,115.0213,115.2971,1000000.0000
80,200.9073,250.9906,301.0483,351.0578,401.1159,1.0000,60.4155,62.7096,76.7684,113.9744,114.9673,116.8101,122.7485,137.2214,1000000.0000
81,201.1897,251.2280,301.2481,351.2586,401.2643,1.0000,30.8302,37.9956,38.5023,60.6740,102.7522,102.8374,107.5222,117.5413,1000000.0000
82,201.9978,252.1044,302.1577,352.2300,402.2656,1.0000,12.6951,24.5933,48.8915,49.9391,57.6459,76.5939,100.6622,113.7498,1000000.0000
83,201.3156,251.3886,301.4601,351.4654,401.4792,1.0000,35.4093,46.4392,76.1186,81.7210,83.5779,113.4841,115.6761,132.6183,1000000.0000
84,201.2855,251.3808,301.4445,351.4874,401.5165,1.0000,32.9236,68.9834,72.4656,72.9062,112.4607,115.6662,125.8474,136.2093,1000000.0000
85,201.7749,251.8894,301.9485,352.0198,402.0527,1.0000,17.6279,25.4071,56.0353,81.2281,106.1749,110.3028,124.1381,131.6328,1000000.0000
86,200.7852,250.8578,300.9082,350.9127,400.9276,1.0000,69.1736,72.0802,75.4701,89.5064,116.8497,123.3452,125.9805,137.9174,1000000.0000
87,201.9940,252.1006,302.2017,352.2628,402.3072,1.0000,10.4778,38.1914,41.7186,45.7888,70.5352,98.5596,121.2277,139.5398,1000000.0000
88,201.4908,251.5931,301.6471,351.6790,401.6588,1.0000,24.7056,34.2872,38.8261,40.1601,86.2044,107.1127,125.7300,136.0694,1000000.0000
89,201.6141,251.7239,301.7975,351.8473,401.8812,1.0000,21.9530,33.6326,75.1145,86.6731,121.0686,122.0989,132.6547,138.6601,1000000.0000
90,201.0177,251.0767,301.1177,351.1403,401.1506,1.0000,48.5473,58.9750,66.2625,67.3252,97.8284,100.9164,101.9207,114.0198,1000000.0000
91,202.0106,252.0964,302.1479,352.1788,402.1575,1.0000,2.6869,4.0865,20.7493,59.0714,81.4547,118.5096,121.8499,123.2229,1000000.0000
92,201.6917,251.7615,301.8346,351.8436,401.8609,1.0000,15.8951,24.6001,35.3238,75.0073,81.8355,119.8304,129.3011,131.9423,1000000.0000
93,202.3567,252.4633,302.5315,352.5456,402.5659,1.0000,1.9940,10.3116,31.6402,49.8756,54.2585,77.0508,97.9541,132.2934,1000000.0000
94,201.3834,251.4397,301.4673,351.4808,401.4878,1.0000,27.6931,36.3704,37.0046,58.0548,64.2690,93.9806,97.1317,102.1827,1000000.0000
95,201.8120,251.8988,301.9534,351.9882,401.9708,1.0000,2.2692,5.7639,58.5247,73.6449,82.9015,104.6674,109.1647,116.8211,1000000.0000
96,201.6742,251.7394,301.7772,351.8289,401.8451,1.0000,17.5078,26.7674,33.1504,62.4034,72.9387,101.0534,111.0113,112.3411,1000000.0000
97,200.8549,250.9192,300.9609,350.9876,401.0055,1.0000,57.6948,64.5691,64.8670,78.9137,99.9413,106.1603,112.7235,116.1621,1000000.0000
98,201.3833,251.3987,301.3820,351.4063,401.4070,1.0000,19.2358,21.2744,25.5730,33.3697,44.1147,51.2871,126.0397,133.6568,1000000.0000
99,202.1376,252.2236,302.2753,352.2761,402.2858,1.0000,2.5285,15.8826,21.2253,27.3376,67.9351,76.6383,83.7262,135.2549,1000000.0000
100,202.1757,252.2990,302.3610,352.4423,402.4830,1.0000,9.8384,20.9432,41.7412,45.3368,64.8423,79.1855,106.0511,122.1736,1000000.0000
