trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
17,2.0800,10.0000,19.9999,41.0266,61.2597,81.4013,101.4877,1.0000,11.8200,17.1179,30.1230,32.1314,35.4885,45.0769,45.6909,53.5225,1000000.0000
18,2.1379,10.5527,20.8779,41.2603,61.4983,81.6542,101.7569,1.0000,6.0550,8.9324,25.3926,26.8618,38.8474,44.3484,46.8213,52.1774,1000000.0000
19,2.2014,10.6751,21.0277,41.4499,61.6926,81.8470,101.9512,1.0000,3.5776,13.3684,15.3605,21.7531,32.6740,40.1158,52.3641,52.7606,1000000.0000
20,2.1800,10.5454,20.7866,41.1131,61.3273,81.4701,101.5667,1.0000,4.2478,25.9467,26.9456,33.9596,45.8434,51.3580,55.2684,57.5635,1000000.0000
21,2.2499,10.5365,20.7521,41.0420,61.2125,81.3154,101.3765,1.0000,2.0492,21.7673,23.3964,39.6785,44.6014,52.3245,52.4976,54.4930,1000000.0000
22,2.3277,10.6248,20.8368,41.1554,61.3717,81.5138,101.6092,1.0000,1.6062,2.1537,19.6980,34.2984,35.3345,35.5016,53.5259,57.0343,1000000.0000
23,2.1044,10.4410,20.7448,41.1428,61.3819,81.5322,101.6266,1.0000,8.4466,20.4933,21.2813,29.6703,33.1334,45.8491,46.4878,51.1388,1000000.0000
24,2.2088,10.7608,21.1205,41.4100,61.5106,81.5596,101.5910,1.0000,3.3657,7.5793,11.3740,14.7247,15.4102,15.9791,39.9132,59.5044,1000000.0000
25,2.0910,10.4005,20.6912,41.0651,61.2789,81.4030,101.4803,1.0000,10.4364,19.8579,24.8793,39.2905,43.2249,46.5863,47.6252,49.4841,1000000.0000
26,2.0532,10.2453,20.4451,40.7367,60.9279,81.0528,101.1321,1.0000,18.7026,26.4336,26.5199,29.8441,33.9727,34.2183,38.6957,48.3343,1000000.0000
27,2.1044,10.4602,20.7926,41.2028,61.4103,81.5151,101.5687,1.0000,9.3534,11.7148,13.9828,14.0451,17.7959,25.9590,35.9629,48.9325,1000000.0000
28,2.1227,10.5162,20.8582,41.2642,61.4765,81.5981,101.6693,1.0000,6.9841,8.8668,18.7794,24.4666,26.3121,41.4733,42.6027,49.3774,1000000.0000
29,2.0862,10.3770,20.6560,39.9996,61.2852,81.4468,101.5535,1.0000,10.5004,24.5669,31.9943,43.7860,45.8051,54.5660,57.3315,57.8345,1000000.0000
30,2.2434,10.6961,21.0514,41.4333,61.6024,81.6771,101.7138,1.0000,1.7199,6.0202,16.1227,21.1498,24.3887,26.0894,28.2385,42.9610,1000000.0000
31,2.0580,10.0000,20.4833,40.8006,61.0091,81.1445,101.2363,1.0000,17.4422,22.6065,24.3117,35.9261,42.8381,49.8350,50.4929,52.6872,1000000.0000
