trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
86,0.5133,0.0000,0.1391,0.2941,0.4269,0.4531,0.4940,0.7782,0.8429,0.8442,0.9228
87,0.5236,0.0000,0.0754,0.1024,0.1076,0.1564,0.2466,0.3042,0.4247,0.5682,0.8180
88,0.5277,0.0000,0.0400,0.1175,0.2422,0.2504,0.3918,0.4834,0.5964,0.9326,0.9759
89,0.5030,0.0000,0.3519,0.3774,0.4083,0.6397,0.7090,0.7700,0.8094,0.8975,0.9543
90,0.5080,0.0000,0.1124,0.1830,0.2124,0.2886,0.3574,0.4030,0.6217,0.7452,0.8744
91,0.5181,0.0000,0.0005,0.0636,0.2083,0.2154,0.4254,0.4877,0.5269,0.8583,0.9324
92,0.5057,0.0000,0.1157,0.1591,0.4794,0.6057,0.6375,0.7279,0.8029,0.8119,0.9149
93,0.5090,0.0000,0.0493,0.1072,0.1730,0.2929,0.4181,0.4731,0.7151,0.8173,0.8823
94,0.5187,0.0000,0.0052,0.3735,0.4097,0.5156,0.6942,0.7333,0.7373,0.8891,0.9195
95,0.5140,0.0000,0.1403,0.1770,0.2828,0.3396,0.3590,0.4835,0.7105,0.9233,0.9371
96,0.5127,0.0000,0.1478,0.1855,0.2569,0.4919,0.5327,0.6002,0.8736,0.8990,0.9632
97,0.5053,0.0000,0.2899,0.3165,0.3263,0.3573,0.4331,0.4469,0.7275,0.7317,0.9150
98,0.5205,0.0000,0.1415,0.3445,0.4413,0.5777,0.7359,0.7709,0.7792,0.7956,0.8659
99,0.5256,0.0000,0.4014,0.4167,0.4484,0.4864,0.4982,0.5678,0.6212,0.6277,0.8668
100,0.4540,0.0000,0.0594,0.1201,0.1754,0.2115,0.3345,0.3482,0.8108,0.8760,0.9185
